Codigo,Nombre,market samaria Vendido,market playa dormida Vendido,market two towers Vendido,principal Vendido,donaciones Vendido,market samaria Inventario,market playa dormida Inventario,market two towers Inventario,principal Inventario,donaciones Inventario,Total vendido,Total inventario,Total en lista,Descuentos,Total Neto,Devoluciones,Total ajustado,Costo,Comision,Ganancia,%,Categoria,SubCategoria,Marca,Unnamed: 26
1479,MARGARITA CREMA Y CEBOLLA X 36G,23,25,2,0,0,8 inv,28 inv,5 inv,0 inv,0 inv,50,41,"$105,042",2521,102521,0,102521,78983,0,23538,23.0%,sin categoria,,COMERCIALICADORA NACIONAL,Ver Facturas   Inventario   Ver En Tienda  Editar Producto   Reporte Analitico
1478,Mix De Arandanos La Espcial X 180g,24,18,8,0,0,13 inv,3 inv,4 inv,0 inv,0 inv,50,20,"$495,798",2975,492824,0,492824,363851,0,128973,26.2%,sin categoria,,DISTRINACIONAL,Ver Facturas   Inventario   Ver En Tienda  Editar Producto   Reporte Analitico
814,Margarita Ondulada De Mayonesa 105g,24,18,8,0,0,12 inv,9 inv,3 inv,0 inv,0 inv,50,24,"$336,134",2689,333445,0,333445,231449,0,101996,30.6%,sin categoria,,COMERCIALICADORA NACIONAL,Ver Facturas   Inventario   Ver En Tienda  Editar Producto   Reporte Analitico
4127,DOUBLEMINT,24,18,7,0,0,19 inv,18 inv,6 inv,0 inv,0 inv,49,43,"$98,000",400,97600,0,97600,56969,0,40631,41.6%,sin categoria,,,Ver Facturas   Inventario   Ver En Tienda  Editar Producto   Reporte Analitico
485,SUERO ELECTROLIT MORA AZUL 625 ML,24,21,4,0,0,30 inv,42 inv,0 inv,0 inv,0 inv,49,72,"$441,000",900,440100,0,440100,300907,0,139193,31.6%,sin categoria,,DISTRINACIONAL SAS,Ver Facturas   Inventario   Ver En Tienda  Editar Producto   Reporte Analitico
796,DETODITO MIX 65G,30,9,10,0,0,15 inv,16 inv,2 inv,0 inv,0 inv,49,33,"$164,706",672,164033,0,164033,117159,0,46875,28.6%,sin categoria,,COMERCIALICADORA NACIONAL,Ver Facturas   Inventario   Ver En Tienda  Editar Producto   Reporte Analitico
2873,COLIK FORTE,39,10,0,0,0,14 inv,12 inv,8 inv,0 inv,0 inv,49,34,"$112,700",920,111780,0,111780,47064,0,64716,57.9%,sin categoria,,,Ver Facturas   Inventario   Ver En Tienda  Editar Producto   Reporte Analitico
4843,CHAMPITAS DULCCES Y SALADAS,22,16,11,0,0,3 inv,4 inv,0 inv,0 inv,0 inv,49,7,"$226,471",1387,225084,4622,220462,159438,0,61024,27.7%,sin categoria,,,Ver Facturas   Inventario   Ver En Tienda  Editar Producto   Reporte Analitico
2268,RICOSTILLA 9GR,20,20,9,0,0,-40 inv,60 inv,18 inv,0 inv,0 inv,49,38,"$24,706",0,24706,0,24706,11328,0,13378,54.1%,sin categoria,,,Ver Facturas   Inventario   Ver En Tienda  Editar Producto   Reporte Analitico
3643,QUESO SABANA 7 TAJADAS ALPINA,31,15,3,0,0,-8 inv,0 inv,2 inv,-1 inv,2 inv,49,-5,"$401,800",0,401800,0,401800,285967,0,115833,28.8%,sin categoria,,ALPINA,Ver Facturas   Inventario   Ver En Tienda  Editar Producto   Reporte Analitico
1016,Milo Doypack 100gr,35,10,4,0,0,20 inv,1 inv,2 inv,0 inv,0 inv,49,23,"$205,882",0,205882,0,205882,151603,0,54279,26.4%,sin categoria,,TIENDAS SAMARIA,Ver Facturas   Inventario   Ver En Tienda  Editar Producto   Reporte Analitico
4114,Bolsa De Basura Task 50x55,48,0,1,0,0,2 inv,6 inv,0 inv,0 inv,0 inv,49,8,"$214,118",1748,212370,0,212370,166061,0,46309,21.8%,sin categoria,,,Ver Facturas   Inventario   Ver En Tienda  Editar Producto   Reporte Analitico
4298,Acqua Manzana Brisa 1.5l,24,14,10,0,0,-2 inv,15 inv,2 inv,0 inv,2 inv,48,17,"$201,681",2101,199580,0,199580,134769,0,64811,32.5%,sin categoria,,,Ver Facturas   Inventario   Ver En Tienda  Editar Producto   Reporte Analitico
328,NOXPIRIN PLUS XUND,48,0,0,0,0,65 inv,1 inv,3 inv,0 inv,0 inv,48,69,"$57,600",600,57000,0,57000,39603,0,17397,30.5%,sin categoria,,SAN ISIDRO B,Ver Facturas   Inventario   Ver En Tienda  Editar Producto   Reporte Analitico
1855,Hamburguesa De Carne Grill Market 100g Calypso,34,9,5,0,0,-11 inv,-46 inv,0 inv,0 inv,0 inv,48,-57,"$605,042",0,605042,0,605042,357557,0,247485,40.9%,Congelados,,,Ver Facturas   Inventario   Ver En Tienda  Editar Producto   Reporte Analitico
486,SUERO ELECTROLIT COCO 625 ML,12,20,16,0,0,30 inv,0 inv,10 inv,0 inv,0 inv,48,40,"$432,000",900,431100,0,431100,300288,0,130812,30.3%,sin categoria,,DISTRINACIONAL SAS,Ver Facturas   Inventario   Ver En Tienda  Editar Producto   Reporte Analitico
1680,CAFE COLCAFE CLASICO 42GR,31,14,3,0,0,24 inv,6 inv,4 inv,0 inv,0 inv,48,34,"$448,000",0,448000,0,448000,264600,0,183400,40.9%,sin categoria,,DISTRINACIONAL,Ver Facturas   Inventario   Ver En Tienda  Editar Producto   Reporte Analitico
3050,Chocolatina Jet Con Leche,44,2,2,0,0,123 inv,61 inv,6 inv,0 inv,0 inv,48,190,"$181,513",0,181513,0,181513,118484,0,63029,34.7%,sin categoria,,DISTRINACIONAL,Ver Facturas   Inventario   Ver En Tienda  Editar Producto   Reporte Analitico
4494,Winny Pañal Etapa 4 Unidad,48,0,0,0,0,-115 inv,0 inv,0 inv,0 inv,0 inv,48,-115,"$168,000",0,168000,0,168000,1504256,0,-1336256,-795.4%,sin categoria,,,Ver Facturas   Inventario   Ver En Tienda  Editar Producto   Reporte Analitico
462,Agua Brisa Ecoflex 1 Litro,48,0,0,0,0,10 inv,0 inv,0 inv,0 inv,0 inv,48,10,"$144,000",0,144000,0,144000,108371,0,35629,24.7%,3. Aguas Y Bebidas Sin Alcohol,,COCA COLA,Ver Facturas   Inventario   Ver En Tienda  Editar Producto   Reporte Analitico
1272,NESCAFE TRADICIONAL 50GR,36,12,0,0,0,0 inv,3 inv,0 inv,0 inv,0 inv,48,3,"$530,286",1105,529181,0,529181,358189,0,170992,32.3%,sin categoria,,DISAM,Ver Facturas   Inventario   Ver En Tienda  Editar Producto   Reporte Analitico
1585,NUTRIBELLA ENZIMOTERAPIA SACHET X 27ML,31,17,0,0,0,23 inv,3 inv,1 inv,0 inv,0 inv,48,27,"$121,008",0,121008,0,121008,48356,0,72653,60.0%,sin categoria,,SAN ISIDRO B,Ver Facturas   Inventario   Ver En Tienda  Editar Producto   Reporte Analitico
4921,GASEOSA MANZANA POSTOBON X1.5L,48,0,0,0,0,11 inv,13 inv,0 inv,0 inv,0 inv,48,24,"$201,681",6723,194958,0,194958,138862,0,56096,28.8%,sin categoria,,,Ver Facturas   Inventario   Ver En Tienda  Editar Producto   Reporte Analitico
2341,SALTIN NOEL QUESO Y MANTEQUILLA 133GR,30,12,6,0,0,20 inv,12 inv,9 inv,0 inv,0 inv,48,41,"$121,008",3529,117479,0,117479,89084,0,28396,24.2%,sin categoria,,DISTRINACIONAL,Ver Facturas   Inventario   Ver En Tienda  Editar Producto   Reporte Analitico
2930,DOLEX ACETAMINOFEN,16,28,3,0,0,9 inv,101 inv,-1 inv,0 inv,0 inv,47,109,"$56,400",240,56160,0,56160,32141,0,24019,42.8%,sin categoria,,,Ver Facturas   Inventario   Ver En Tienda  Editar Producto   Reporte Analitico
1667,TOALLAS SCOTT REUTILIZABLES ROLLO X 46 PAÑOS,34,11,2,0,0,28 inv,3 inv,3 inv,0 inv,0 inv,47,34,"$552,941",0,552941,0,552941,267626,0,285316,51.6%,sin categoria,,DISAM,Ver Facturas   Inventario   Ver En Tienda  Editar Producto   Reporte Analitico
2251,QUESO FINNESE FORMATO 300,26,11,10,0,0,5 inv,6 inv,0 inv,0 inv,1 inv,47,12,"$925,600",9600,916000,0,916000,654775,0,261225,28.5%,sin categoria,,ALPINA,Ver Facturas   Inventario   Ver En Tienda  Editar Producto   Reporte Analitico
1582,Croissant De Arequipe Bimbo X60g,29,16,2,0,0,8 inv,0 inv,0 inv,0 inv,0 inv,47,8,"$141,000",2400,138600,0,138600,82513,0,56087,40.5%,Panadería,,BIMBO,Ver Facturas   Inventario   Ver En Tienda  Editar Producto   Reporte Analitico
649,DANDY CHOCODISK 16G,39,3,5,0,0,23 inv,50 inv,0 inv,0 inv,0 inv,47,73,"$47,395",202,47193,0,47193,30144,0,17049,36.1%,sin categoria,,,Ver Facturas   Inventario   Ver En Tienda  Editar Producto   Reporte Analitico
1772,GALLETA BRIDGE DE FRESA,36,8,3,0,0,-113 inv,16 inv,2 inv,0 inv,0 inv,47,-95,"$78,992",336,78655,0,78655,23049,0,55606,70.7%,sin categoria,,,Ver Facturas   Inventario   Ver En Tienda  Editar Producto   Reporte Analitico
580,ACHIRAS TRES QUESOS PA MI GENTE BIMBO x 25 GR,19,20,8,0,0,9 inv,9 inv,1 inv,0 inv,0 inv,47,19,"$111,905",3810,108095,0,108095,72064,0,36031,33.3%,Panadería,,BIMBO,Ver Facturas   Inventario   Ver En Tienda  Editar Producto   Reporte Analitico
1327,Gala Ramo Natural,32,8,7,0,0,20 inv,3 inv,3 inv,0 inv,0 inv,47,26,"$90,840",2126,88714,0,88714,63655,0,25059,28.2%,4. Tortas Y Ponques,,RAMO,Ver Facturas   Inventario   Ver En Tienda  Editar Producto   Reporte Analitico
439,Fuze Tea Te Negro Limon Pet 1.2 Ml,30,15,2,0,0,0 inv,6 inv,5 inv,0 inv,0 inv,47,11,"$181,681",5412,176269,0,176269,148290,0,27979,15.9%,3. Aguas Y Bebidas Sin Alcohol,,COCA COLA,Ver Facturas   Inventario   Ver En Tienda  Editar Producto   Reporte Analitico
2815,CHEETOS BOLIQUESO X 160G,34,5,8,0,0,9 inv,7 inv,0 inv,0 inv,0 inv,47,16,"$284,370",2420,281950,0,281950,217559,0,64390,22.8%,sin categoria,,COMERCIALICADORA NACIONAL,Ver Facturas   Inventario   Ver En Tienda  Editar Producto   Reporte Analitico
4826,Pan Sabor A Mantequilla Extra Largo Comapan X520g,41,1,5,0,0,21 inv,6 inv,0 inv,0 inv,0 inv,47,27,"$376,000",0,376000,0,376000,260897,0,115103,30.6%,Panadería,,,Ver Facturas   Inventario   Ver En Tienda  Editar Producto   Reporte Analitico
1646,AVENA FINESSE VASO ALPINA X 250,25,15,6,0,0,17 inv,7 inv,3 inv,0 inv,0 inv,46,27,"$154,622",2689,151933,0,151933,123769,0,28164,18.5%,sin categoria,,ALPINA,Ver Facturas   Inventario   Ver En Tienda  Editar Producto   Reporte Analitico
1978,LOZACREM LIQUIDO LIMON 400ML,14,28,4,0,0,25 inv,2 inv,0 inv,0 inv,0 inv,46,27,"$394,286",3429,390857,0,390857,318539,0,72318,18.5%,sin categoria,,,Ver Facturas   Inventario   Ver En Tienda  Editar Producto   Reporte Analitico
2011,MANI LA ESPECIAL MIX YOGURT,27,15,4,0,0,40 inv,38 inv,22 inv,0 inv,0 inv,46,100,"$96,639",210,96429,0,96429,77310,0,19118,19.8%,sin categoria,,DISTRINACIONAL,Ver Facturas   Inventario   Ver En Tienda  Editar Producto   Reporte Analitico
1857,HELADO ARTESANAL MORA LECHE CONDENSADA,46,0,0,0,0,59 inv,-25 inv,0 inv,0 inv,0 inv,46,34,"$146,891",958,145933,0,145933,92254,0,53679,36.8%,sin categoria,,HELADOS,Ver Facturas   Inventario   Ver En Tienda  Editar Producto   Reporte Analitico
2558,YOGURT GRIEGO CAMA DE FRUTA MORA ARA- 150G ALPINA,30,13,3,0,0,3 inv,9 inv,0 inv,0 inv,0 inv,46,12,"$224,202",487,223714,0,223714,167427,0,56287,25.2%,sin categoria,,ALPINA,Ver Facturas   Inventario   Ver En Tienda  Editar Producto   Reporte Analitico
4631,Paleta Dracula X60g,27,11,8,0,0,8 inv,18 inv,-9 inv,0 inv,0 inv,46,17,"$193,277",0,193277,0,193277,138922,0,54355,28.1%,sin categoria,,,Ver Facturas   Inventario   Ver En Tienda  Editar Producto   Reporte Analitico
1336,Pan Super Perro Bimbo X 6 Unidades 405g,34,11,1,0,0,11 inv,9 inv,5 inv,0 inv,0 inv,46,25,"$400,200",0,400200,0,400200,260595,0,139605,34.9%,Panadería,,BIMBO,Ver Facturas   Inventario   Ver En Tienda  Editar Producto   Reporte Analitico
2357,SCHICK QUATTRO WOMEN,32,14,0,0,0,49 inv,13 inv,7 inv,0 inv,0 inv,46,69,"$193,277",0,193277,0,193277,130853,0,62425,32.3%,sin categoria,,,Ver Facturas   Inventario   Ver En Tienda  Editar Producto   Reporte Analitico
1243,Dulce Juguete Hoppin Surprise,35,6,5,0,0,25 inv,11 inv,1 inv,0 inv,0 inv,46,37,"$313,109",0,313109,0,313109,180134,0,132975,42.5%,sin categoria,,MEICO,Ver Facturas   Inventario   Ver En Tienda  Editar Producto   Reporte Analitico
67,Lila Te Hatsu Vidrio X400ml,19,15,11,0,0,11 inv,4 inv,5 inv,0 inv,0 inv,45,20,"$207,983",1387,206597,0,206597,141807,0,64790,31.4%,3. Aguas Y Bebidas Sin Alcohol,,POSTOBON,Ver Facturas   Inventario   Ver En Tienda  Editar Producto   Reporte Analitico
1031,QUESO PARMESANO ALPINA 100G,29,13,3,0,0,4 inv,6 inv,1 inv,0 inv,0 inv,45,11,"$527,563",0,527563,0,527563,371224,0,156339,29.6%,sin categoria,,ALPINA,Ver Facturas   Inventario   Ver En Tienda  Editar Producto   Reporte Analitico
1310,Bicarbonato De Sodio X50g,36,8,1,0,0,8 inv,8 inv,0 inv,0 inv,0 inv,45,16,"$83,193",185,83008,0,83008,20029,0,62979,75.9%,sin categoria,,DISAM,Ver Facturas   Inventario   Ver En Tienda  Editar Producto   Reporte Analitico
1559,GALLETA FESTIVAL VAINILLA X 6,28,9,8,0,0,53 inv,8 inv,9 inv,0 inv,0 inv,45,70,"$60,504",807,59698,0,59698,39240,0,20457,34.3%,sin categoria,,,Ver Facturas   Inventario   Ver En Tienda  Editar Producto   Reporte Analitico
2593,ACONDICIONADOR MULTIVITAMINAS,38,7,0,0,0,1 inv,6 inv,3 inv,0 inv,0 inv,45,10,"$113,445",0,113445,0,113445,29072,0,84373,74.4%,sin categoria,,SAN ISIDRO B,Ver Facturas   Inventario   Ver En Tienda  Editar Producto   Reporte Analitico
4542,AGUA MANANTIAL X 500 ML,24,2,18,0,0,-2 inv,-1 inv,19 inv,0 inv,0 inv,44,16,"$154,000",1400,152600,0,152600,74433,0,78167,51.2%,sin categoria,,,Ver Facturas   Inventario   Ver En Tienda  Editar Producto   Reporte Analitico
427,Tostacos Picantes Ramo  X200gr,20,19,5,0,0,-12 inv,-8 inv,-3 inv,0 inv,0 inv,44,-23,"$277,311",0,277311,0,277311,220732,0,56579,20.4%,sin categoria,,RAMO,Ver Facturas   Inventario   Ver En Tienda  Editar Producto   Reporte Analitico
2607,ADVIL MAX X UND,19,25,0,0,0,42 inv,45 inv,0 inv,0 inv,0 inv,44,87,"$114,400",0,114400,0,114400,77686,0,36714,32.1%,sin categoria,,SAN ISIDRO B,Ver Facturas   Inventario   Ver En Tienda  Editar Producto   Reporte Analitico
2539,VIVE 100 SIN AZUCAR,31,13,0,0,0,10 inv,5 inv,0 inv,0 inv,0 inv,44,15,"$129,412",6765,122647,8824,113824,68725,0,45098,39.6%,sin categoria,,,Ver Facturas   Inventario   Ver En Tienda  Editar Producto   Reporte Analitico
1579,YOGURT ORIGINAL FRESA ALPINA VASO150G,30,11,3,0,0,7 inv,5 inv,0 inv,0 inv,0 inv,44,12,"$110,924",756,110168,0,110168,78541,0,31627,28.7%,sin categoria,,ALPINA,Ver Facturas   Inventario   Ver En Tienda  Editar Producto   Reporte Analitico
4984,Aloha Raspado Kola Nuevo,11,20,13,0,0,-24 inv,-8 inv,5 inv,0 inv,0 inv,44,-27,"$184,874",840,184034,0,184034,115540,0,68493,37.2%,Helados,,,Ver Facturas   Inventario   Ver En Tienda  Editar Producto   Reporte Analitico
834,MARGARITA ONDULADA DE TOMATE 35G,32,6,6,0,0,11 inv,-1 inv,3 inv,0 inv,0 inv,44,13,"$92,437",420,92017,0,92017,69416,0,22600,24.6%,sin categoria,,,Ver Facturas   Inventario   Ver En Tienda  Editar Producto   Reporte Analitico
625,PIAZZA CHOCOLATE 45G,28,10,6,0,0,0 inv,6 inv,0 inv,0 inv,0 inv,44,6,"$151,597",0,151597,0,151597,101423,0,50174,33.1%,sin categoria,,MULTIMARCAS DEL CARIBE,Ver Facturas   Inventario   Ver En Tienda  Editar Producto   Reporte Analitico
1914,CHOCOLATINA JET COOKIES AND CREAM X21g,27,9,7,0,0,26 inv,21 inv,9 inv,0 inv,0 inv,43,56,"$115,630",538,115093,0,115093,73557,0,41535,36.1%,sin categoria,,DISTRINACIONAL,Ver Facturas   Inventario   Ver En Tienda  Editar Producto   Reporte Analitico
2072,MIX NUECES LA ESPECIAL,22,19,2,0,0,16 inv,7 inv,3 inv,0 inv,0 inv,43,26,"$426,387",6941,419446,0,419446,312222,0,107223,25.6%,sin categoria,,DISTRINACIONAL,Ver Facturas   Inventario   Ver En Tienda  Editar Producto   Reporte Analitico
3480,VASO 3.5OZ CARTON 20UND,32,8,3,0,0,57 inv,2 inv,-6 inv,0 inv,0 inv,43,53,"$180,672",0,180672,0,180672,108397,0,72275,40.0%,sin categoria,,,Ver Facturas   Inventario   Ver En Tienda  Editar Producto   Reporte Analitico
1203,PAPAS  MARGARITA ONDULADAS DE TOMATE 105 G,26,11,5,0,0,13 inv,5 inv,4 inv,0 inv,0 inv,42,22,"$247,059",588,246470,0,246470,194418,0,52052,21.1%,sin categoria,,COMERCIALICADORA NACIONAL,Ver Facturas   Inventario   Ver En Tienda  Editar Producto   Reporte Analitico
1785,GALLETAS BRIDGE VAINILLA,27,15,0,0,0,-98 inv,12 inv,0 inv,0 inv,0 inv,42,-86,"$35,294",336,34958,0,34958,20436,0,14522,41.5%,sin categoria,,,Ver Facturas   Inventario   Ver En Tienda  Editar Producto   Reporte Analitico
498,Snicker Single 1.86oz,24,15,3,0,0,23 inv,25 inv,1 inv,0 inv,0 inv,42,49,"$194,118",1849,192269,0,192269,140227,0,52041,27.1%,sin categoria,,MEICO,Ver Facturas   Inventario   Ver En Tienda  Editar Producto   Reporte Analitico
2363,SHAMPO SAVITAL FUSION PROTEINAS 100ML,27,8,7,0,0,10 inv,5 inv,-1 inv,0 inv,0 inv,42,14,"$211,765",0,211765,0,211765,97674,0,114091,53.9%,sin categoria,,,Ver Facturas   Inventario   Ver En Tienda  Editar Producto   Reporte Analitico
3204,Caldo Desmenuzado De Costilla 9gr,18,22,2,0,0,209 inv,164 inv,-2 inv,0 inv,0 inv,42,371,"$31,765",0,31765,0,31765,11251,0,20513,64.6%,sin categoria,,,Ver Facturas   Inventario   Ver En Tienda  Editar Producto   Reporte Analitico
4184,YOGURT MELOCOTON,29,9,4,0,0,-2 inv,6 inv,3 inv,0 inv,0 inv,42,7,"$105,882",1513,104370,0,104370,74957,0,29413,28.2%,sin categoria,,,Ver Facturas   Inventario   Ver En Tienda  Editar Producto   Reporte Analitico
2119,NUTELLA 15 GR,29,6,7,0,0,12 inv,21 inv,0 inv,0 inv,0 inv,42,33,"$70,588",0,70588,0,70588,40811,0,29777,42.2%,sin categoria,,,Ver Facturas   Inventario   Ver En Tienda  Editar Producto   Reporte Analitico
5,Casero Tres Leches Bimbo 220g,39,3,0,0,0,9 inv,3 inv,0 inv,0 inv,2 inv,42,14,"$317,647",2269,315378,0,315378,228060,0,87319,27.7%,4. Tortas Y Ponques,,BIMBO,Ver Facturas   Inventario   Ver En Tienda  Editar Producto   Reporte Analitico
798,Detodito Limon 165g,27,11,4,0,0,8 inv,7 inv,4 inv,0 inv,0 inv,42,19,"$300,000",714,299286,0,299286,230328,0,68958,23.0%,sin categoria,,COMERCIALICADORA NACIONAL,Ver Facturas   Inventario   Ver En Tienda  Editar Producto   Reporte Analitico
1621,Soda Hatsu Uva & Romero X300ml,26,10,6,0,0,20 inv,7 inv,2 inv,0 inv,3 inv,42,32,"$134,118",319,133798,0,133798,83521,0,50278,37.6%,3. Aguas Y Bebidas Sin Alcohol,,POSTOBON,Ver Facturas   Inventario   Ver En Tienda  Editar Producto   Reporte Analitico
1405,TOSTADAS INTEGRALES BIMBO,34,6,2,0,0,8 inv,5 inv,7 inv,0 inv,0 inv,42,20,"$294,000",1400,292600,0,292600,160986,0,131614,45.0%,sin categoria,,BIMBO,Ver Facturas   Inventario   Ver En Tienda  Editar Producto   Reporte Analitico
1895,JABON JHONSON'S NUTRI SPA,16,24,2,0,0,-5 inv,5 inv,4 inv,0 inv,0 inv,42,4,"$169,412",0,169412,0,169412,106489,0,62923,37.1%,sin categoria,,DISAM,Ver Facturas   Inventario   Ver En Tienda  Editar Producto   Reporte Analitico
3890,Aceite Girasoli X420ml,25,15,2,0,0,-32 inv,-35 inv,7 inv,0 inv,0 inv,42,-60,"$441,176",0,441176,0,441176,202049,0,239127,54.2%,sin categoria,,,Ver Facturas   Inventario   Ver En Tienda  Editar Producto   Reporte Analitico
940,Alpinito Fresa Alpina,41,0,0,0,0,-11 inv,27 inv,0 inv,0 inv,0 inv,41,16,"$82,000",0,82000,0,82000,49737,0,32263,39.3%,sin categoria,,ALPINA,Ver Facturas   Inventario   Ver En Tienda  Editar Producto   Reporte Analitico
4676,HIT LULO 500 ML,29,5,7,0,0,-54 inv,-1 inv,23 inv,0 inv,0 inv,41,-32,"$110,252",2151,108101,0,108101,69898,0,38203,35.3%,sin categoria,,,Ver Facturas   Inventario   Ver En Tienda  Editar Producto   Reporte Analitico
1265,FINI ROLLER FANTASIA 20 G,16,12,13,0,0,1 inv,-22 inv,3 inv,0 inv,0 inv,41,-18,"$58,571",0,58571,0,58571,30305,0,28267,48.3%,sin categoria,,MEICO,Ver Facturas   Inventario   Ver En Tienda  Editar Producto   Reporte Analitico
1762,FINNI ROLLER FRESA,12,10,19,0,0,22 inv,84 inv,56 inv,0 inv,0 inv,41,162,"$58,571",0,58571,0,58571,31018,0,27554,47.0%,sin categoria,,MEICO,Ver Facturas   Inventario   Ver En Tienda  Editar Producto   Reporte Analitico
874,YOGURT ORIGINAL MORA VASO ALPINA 150G,31,5,5,0,0,1 inv,2 inv,4 inv,0 inv,2 inv,41,9,"$103,361",252,103109,0,103109,73439,0,29671,28.8%,sin categoria,,ALPINA,Ver Facturas   Inventario   Ver En Tienda  Editar Producto   Reporte Analitico
828,CHESSSE TRIS QUESO 42G,23,11,7,0,0,3 inv,18 inv,4 inv,0 inv,0 inv,41,25,"$86,134",420,85714,0,85714,50508,0,35206,41.1%,sin categoria,,COMERCIALICADORA NACIONAL,Ver Facturas   Inventario   Ver En Tienda  Editar Producto   Reporte Analitico
2215,Pimenton Verde Xund,15,26,0,0,0,21 inv,0 inv,0 inv,0 inv,0 inv,41,21,"$36,900",0,36900,0,36900,25230,0,11670,31.6%,sin categoria,,FRUVER,Ver Facturas   Inventario   Ver En Tienda  Editar Producto   Reporte Analitico
976,QUESO SABANA DE ALPINA 15 TAJADAS 240G,30,8,3,0,0,-3 inv,17 inv,1 inv,0 inv,1 inv,41,16,"$788,700",7080,781620,0,781620,617443,0,164177,21.0%,sin categoria,,ALPINA,Ver Facturas   Inventario   Ver En Tienda  Editar Producto   Reporte Analitico
3831,HALLS EXTRASTRONG,28,10,3,0,0,67 inv,14 inv,6 inv,0 inv,0 inv,41,87,"$68,908",672,68235,0,68235,45884,0,22351,32.8%,sin categoria,,,Ver Facturas   Inventario   Ver En Tienda  Editar Producto   Reporte Analitico
4670,PASABOCA LA ESPECIAL SAL 35G,31,3,6,0,0,16 inv,8 inv,15 inv,0 inv,0 inv,40,39,"$84,034",0,84034,0,84034,54031,0,30002,35.7%,sin categoria,,,Ver Facturas   Inventario   Ver En Tienda  Editar Producto   Reporte Analitico
4824,SHAMPOO DOVE HIDRATACION,29,11,0,0,0,2 inv,1 inv,0 inv,0 inv,0 inv,40,3,"$67,227",0,67227,0,67227,27201,0,40026,59.5%,sin categoria,,,Ver Facturas   Inventario   Ver En Tienda  Editar Producto   Reporte Analitico
1218,AGUARDIENTE ANTIOQUEÑO VERDE X 750,21,17,2,0,0,0 inv,11 inv,3 inv,0 inv,0 inv,40,14,"$1,561,905",0,1561905,0,1561905,906586,0,655319,42.0%,sin categoria,,LICONSUMAR,Ver Facturas   Inventario   Ver En Tienda  Editar Producto   Reporte Analitico
4005,DETERGENTE FAB FLORAL MAX POD 25GR,35,4,0,0,0,3 inv,1 inv,3 inv,0 inv,0 inv,39,7,"$131,092",0,131092,0,131092,76490,0,54602,41.7%,sin categoria,,,Ver Facturas   Inventario   Ver En Tienda  Editar Producto   Reporte Analitico
2554,XTREME HAWAIINAN,28,9,2,0,0,22 inv,31 inv,8 inv,0 inv,0 inv,39,61,"$147,512",0,147512,0,147512,71029,0,76483,51.8%,sin categoria,,DISAM,Ver Facturas   Inventario   Ver En Tienda  Editar Producto   Reporte Analitico
939,Alpinito Melocoton Alpina,39,0,0,0,0,2 inv,15 inv,0 inv,0 inv,0 inv,39,17,"$78,000",0,78000,0,78000,47519,0,30482,39.1%,sin categoria,,ALPINA,Ver Facturas   Inventario   Ver En Tienda  Editar Producto   Reporte Analitico
3437,CAFE SELLO ROJO 212GR,27,12,0,0,0,19 inv,3 inv,6 inv,0 inv,0 inv,39,28,"$371,429",0,371429,0,371429,269254,0,102174,27.5%,sin categoria,,DISTRINACIONAL,Ver Facturas   Inventario   Ver En Tienda  Editar Producto   Reporte Analitico
1801,GATORADE MARACUYA,9,16,14,0,0,-9 inv,-5 inv,19 inv,0 inv,0 inv,39,5,"$163,866",0,163866,0,163866,94608,0,69258,42.3%,sin categoria,,,Ver Facturas   Inventario   Ver En Tienda  Editar Producto   Reporte Analitico
4169,Amarillo Te Hatsu Vidrio X400ml,20,17,2,0,0,10 inv,5 inv,6 inv,0 inv,0 inv,39,21,"$180,252",1387,178866,0,178866,122899,0,55967,31.3%,sin categoria,,,Ver Facturas   Inventario   Ver En Tienda  Editar Producto   Reporte Analitico
2068,Mini Croissant Mantequilla Bimbo X304g,14,21,3,0,0,6 inv,2 inv,0 inv,0 inv,0 inv,38,8,"$334,400",1760,332640,0,332640,237538,0,95102,28.6%,Panadería,,BIMBO,Ver Facturas   Inventario   Ver En Tienda  Editar Producto   Reporte Analitico
1622,Soda Hatsu Limon & Hierbabuena,24,7,7,0,0,32 inv,7 inv,6 inv,0 inv,2 inv,38,47,"$121,345",958,120387,0,120387,71640,0,48747,40.5%,3. Aguas Y Bebidas Sin Alcohol,,POSTOBON,Ver Facturas   Inventario   Ver En Tienda  Editar Producto   Reporte Analitico
889,CREMA DE LECHE SEMIENTERA 400 GR,21,12,5,0,0,7 inv,5 inv,2 inv,-2 inv,0 inv,38,12,"$440,800",4640,436160,0,436160,316540,0,119620,27.4%,sin categoria,,,Ver Facturas   Inventario   Ver En Tienda  Editar Producto   Reporte Analitico
1215,SAVILOE X320G,34,4,0,0,0,-4 inv,7 inv,0 inv,0 inv,0 inv,38,3,"$95,798",252,95546,0,95546,62758,0,32788,34.3%,sin categoria,,SAN ISIDRO B,Ver Facturas   Inventario   Ver En Tienda  Editar Producto   Reporte Analitico
4140,Mini Pan De Bono,14,13,11,0,0,-3 inv,0 inv,6 inv,0 inv,0 inv,38,3,"$83,025",0,83025,0,83025,58737,0,24288,29.3%,sin categoria,,,Ver Facturas   Inventario   Ver En Tienda  Editar Producto   Reporte Analitico
